2023-04-27 11:33:11,574 INFO    StreamThr :50590 [internal.py:wandb_internal():86] W&B internal server running at pid: 50590, started at: 2023-04-27 11:33:11.574327
2023-04-27 11:33:11,575 DEBUG   HandlerThread:50590 [handler.py:handle_request():144] handle_request: status
2023-04-27 11:33:11,577 INFO    WriterThread:50590 [datastore.py:open_for_write():85] open: /home/jonah/Documents/school/idl/ForwardForward/new_code/wandb/run-20230427_113311-f7fv4ucj/run-f7fv4ucj.wandb
2023-04-27 11:33:11,577 DEBUG   SenderThread:50590 [sender.py:send():375] send: header
2023-04-27 11:33:11,585 DEBUG   SenderThread:50590 [sender.py:send():375] send: run
2023-04-27 11:33:11,802 INFO    SenderThread:50590 [dir_watcher.py:__init__():219] watching files in: /home/jonah/Documents/school/idl/ForwardForward/new_code/wandb/run-20230427_113311-f7fv4ucj/files
2023-04-27 11:33:11,802 INFO    SenderThread:50590 [sender.py:_start_run_threads():1124] run started: f7fv4ucj with start time 1682609591.574801
2023-04-27 11:33:11,802 DEBUG   SenderThread:50590 [sender.py:send_request():402] send_request: summary_record
2023-04-27 11:33:11,802 INFO    SenderThread:50590 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-04-27 11:33:11,803 DEBUG   HandlerThread:50590 [handler.py:handle_request():144] handle_request: check_version
2023-04-27 11:33:11,803 DEBUG   SenderThread:50590 [sender.py:send_request():402] send_request: check_version
2023-04-27 11:33:11,851 DEBUG   HandlerThread:50590 [handler.py:handle_request():144] handle_request: run_start
2023-04-27 11:33:11,856 DEBUG   HandlerThread:50590 [system_info.py:__init__():31] System info init
2023-04-27 11:33:11,856 DEBUG   HandlerThread:50590 [system_info.py:__init__():46] System info init done
2023-04-27 11:33:11,856 INFO    HandlerThread:50590 [system_monitor.py:start():181] Starting system monitor
2023-04-27 11:33:11,857 INFO    SystemMonitor:50590 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-04-27 11:33:11,857 INFO    HandlerThread:50590 [system_monitor.py:probe():201] Collecting system info
2023-04-27 11:33:11,857 INFO    SystemMonitor:50590 [interfaces.py:start():190] Started cpu monitoring
2023-04-27 11:33:11,857 INFO    SystemMonitor:50590 [interfaces.py:start():190] Started disk monitoring
2023-04-27 11:33:11,858 INFO    SystemMonitor:50590 [interfaces.py:start():190] Started gpu monitoring
2023-04-27 11:33:11,859 INFO    SystemMonitor:50590 [interfaces.py:start():190] Started memory monitoring
2023-04-27 11:33:11,859 INFO    SystemMonitor:50590 [interfaces.py:start():190] Started network monitoring
2023-04-27 11:33:11,867 DEBUG   HandlerThread:50590 [system_info.py:probe():195] Probing system
2023-04-27 11:33:11,872 DEBUG   HandlerThread:50590 [system_info.py:_probe_git():180] Probing git
2023-04-27 11:33:11,881 DEBUG   HandlerThread:50590 [system_info.py:_probe_git():188] Probing git done
2023-04-27 11:33:11,881 DEBUG   HandlerThread:50590 [system_info.py:probe():240] Probing system done
